,time,rela,crel,time1,rela.1,crel.1,time2,rela.2,crel.2,time3,rela.3,crel.3,time4,rela.4,crel.4
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.021388889,-0.004275807,0.004587878,0.027222222,0.00711913,0.000139901,0.019444444,0.029000718,0.017333614,0.027222222,-0.037516129,0.007576046,0.027222222,-0.01912177,-0.008338762
3,0.183888889,-0.018928187,-0.004941639,0.189722222,0.012029355,0.007198052,0.181944444,0.054725955,0.041112263,0.189722222,-0.065846661,0.026084656,0.189722222,-0.035925644,-0.01020137
4,0.300555556,-0.030423591,-0.018092561,0.306388889,0.029692615,0.023829553,0.298611111,0.072202468,0.054681845,0.306388889,-0.077443737,0.047979293,0.306388889,-0.04790896,-0.007800035
5,0.417222222,-0.041329521,-0.025655882,0.423055556,0.075370088,0.051320903,0.415277778,0.074904732,0.057569172,0.423055556,-0.092390282,0.062077139,0.423055556,-0.041049603,-0.007902716
6,0.533888889,-0.047404311,-0.03913824,0.539722222,0.131598301,0.087923643,0.531944444,0.071157109,0.044431733,0.539722222,-0.100444319,0.06635526,0.539722222,-0.005419642,-0.005127055
7,0.650555556,-0.033087207,-0.055535942,0.656388889,0.172995444,0.1134579,0.648611111,0.058896491,0.023464531,0.656388889,-0.088161915,0.053933459,0.656388889,0.031385115,-0.002037425
8,0.767222222,0.03914856,-0.062179361,0.773055556,0.180883519,0.115051739,0.765277778,0.063338158,0.005319723,0.773055556,-0.06118031,0.036685289,0.773055556,0.050746806,0.003622193
9,0.883888889,0.194631221,-0.057057487,0.889722222,0.168299059,0.095362317,0.881944444,0.133994069,0.004117381,0.889722222,0.014987352,0.029805157,0.889722222,0.071245279,0.020132486
10,1.000555556,0.426833675,-0.024933457,1.006388889,0.156744254,0.073512593,0.998611111,0.290504344,0.027748482,1.006388889,0.147771084,0.030230055,1.006388889,0.09487416,0.025989044
11,1.117222222,0.694173572,0.044954613,1.123055556,0.200846407,0.067705326,1.115277778,0.484981315,0.078028589,1.123055556,0.296034302,0.043408455,1.123055556,0.121975099,0.011932898
12,1.233888889,0.933246452,0.130869472,1.239722222,0.324321357,0.089717105,1.231944444,0.671247603,0.145575334,1.239722222,0.439933568,0.07120613,1.239722222,0.170804929,0.00346469
13,1.350555556,1.110583278,0.209523424,1.356388889,0.527166176,0.137754628,1.348611111,0.81842675,0.211551918,1.356388889,0.567770775,0.100771077,1.356388889,0.249936157,0.004530426
14,1.467222222,1.219642521,0.270006906,1.473055556,0.766875138,0.200865148,1.465277778,0.915111892,0.271191242,1.473055556,0.656371203,0.125716806,1.473055556,0.349258541,0.017171819
15,1.583888889,1.259442804,0.299864842,1.589722222,1.005674802,0.282208977,1.581944444,0.971515609,0.329070197,1.589722222,0.692723059,0.150655658,1.589722222,0.468621058,0.0618472
16,1.700555556,1.266918385,0.312955204,1.706388889,1.19385617,0.388490886,1.698611111,1.011552797,0.38650774,1.706388889,0.688352384,0.167032193,1.706388889,0.598587796,0.124086609
17,1.817222222,1.265918763,0.324896915,1.823055556,1.306239143,0.506540652,1.815277778,1.03576249,0.430310322,1.823055556,0.666584807,0.174830619,1.823055556,0.714968387,0.177073077
18,1.933888889,1.231099071,0.333196478,1.939722222,1.339311011,0.611460435,1.931944444,1.029644737,0.457694705,1.939722222,0.631950875,0.177324146,1.939722222,0.8061392,0.226474178
19,2.050555556,1.185645297,0.340454863,2.056388889,1.304982956,0.671255018,2.048611111,0.990148154,0.465029999,2.056388889,0.606681773,0.180312036,2.056388889,0.860438937,0.268339258
20,2.167222222,1.157617515,0.343232759,2.173055556,1.190382882,0.677687108,2.165277778,0.933123135,0.445917679,2.173055556,0.625923924,0.19746569,2.173055556,0.875460904,0.295597146
21,2.283888889,1.104394359,0.326767286,2.289722222,1.044724265,0.629875648,2.281944444,0.861108486,0.39994342,2.289722222,0.674397083,0.222512527,2.289722222,0.851267618,0.319226145
22,2.400555556,1.028900379,0.294457532,2.406388889,0.94385338,0.559139103,2.398611111,0.789564364,0.352099333,2.406388889,0.720998899,0.238788585,2.406388889,0.804466881,0.330884788
23,2.517222222,0.982622535,0.256270931,2.523055556,0.909311403,0.50989032,2.515277778,0.748936713,0.328499504,2.523055556,0.753577474,0.247286064,2.523055556,0.760576934,0.32306901
24,2.633888889,0.951065555,0.216391326,2.639722222,0.937849582,0.497494566,2.631944444,0.751182651,0.333394241,2.639722222,0.761943062,0.248789347,2.639722222,0.731435983,0.301310502
25,2.750555556,0.926794237,0.202879466,2.756388889,1.030914344,0.506564799,2.748611111,0.774932677,0.351902668,2.756388889,0.735194195,0.235114045,2.756388889,0.725866459,0.279415509
26,2.867222222,0.951308049,0.211549641,2.873055556,1.140282734,0.536129835,2.865277778,0.808188428,0.374663525,2.873055556,0.7032368,0.224439915,2.873055556,0.746834743,0.274790361
27,2.983888889,0.999618935,0.218723285,2.989722222,1.199345318,0.565272669,2.981944444,0.861183984,0.396583245,2.989722222,0.692755713,0.230373136,2.989722222,0.767536422,0.283268011
