,time,rela,crel,time1,rela.1,crel.1,time2,rela.2,crel.2,time3,rela.3,crel.3,time4,rela.4,crel.4
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.011666667,0.150034481,0.010375867,0.015555556,0.212886607,0.05449494,0.0175,0.116816993,0.016698011,0.015555556,0.098189204,0.02093425,0.0175,0.118136722,0.046783686
3,0.174166667,0.330757576,0.017195013,0.178055556,0.483959966,0.158503056,0.18,0.307866526,0.061375106,0.178055556,0.290240437,0.074850385,0.18,0.293727492,0.130428483
4,0.290833333,0.50070032,0.031103479,0.294722222,0.729457618,0.276269008,0.296666667,0.515004193,0.119541692,0.294722222,0.497107749,0.147387202,0.296666667,0.490343917,0.228637032
5,0.4075,0.652777524,0.05509169,0.411388889,0.922289254,0.391215542,0.413333333,0.685828489,0.182826384,0.411388889,0.669178289,0.223968081,0.413333333,0.660030432,0.332802858
6,0.524166667,0.756047238,0.084295545,0.528055556,1.024231001,0.496509088,0.53,0.794305392,0.254859972,0.528055556,0.804459519,0.307871075,0.53,0.763584123,0.430893873
7,0.640833333,0.792408752,0.112426509,0.644722222,1.019699106,0.565623343,0.646666667,0.796667034,0.314907692,0.644722222,0.871296843,0.385397598,0.646666667,0.784308155,0.493833536
8,0.7575,0.815301238,0.142283246,0.761388889,0.953595703,0.591191636,0.763333333,0.70710875,0.342999458,0.761388889,0.87412957,0.43363129,0.763333333,0.754397061,0.519359987
9,0.874166667,0.875774651,0.184196399,0.878055556,0.873232769,0.599242599,0.88,0.592226338,0.358375642,0.878055556,0.864955768,0.450944435,0.88,0.721169532,0.539391183
10,0.990833333,0.998643683,0.256227961,0.994722222,0.837357704,0.618541187,0.996666667,0.499500458,0.370387911,0.994722222,0.863292166,0.457891276,0.996666667,0.71341324,0.563724985
11,1.1075,1.151731288,0.355009315,1.111388889,0.858864277,0.651098874,1.113333333,0.446461841,0.38384187,1.111388889,0.879507038,0.480729847,1.113333333,0.735779026,0.595859134
12,1.224166667,1.278404115,0.460184495,1.228055556,0.900913041,0.684039387,1.23,0.453405164,0.404333019,1.228055556,0.929197974,0.527203546,1.23,0.778165242,0.639795078
13,1.340833333,1.359858211,0.558696797,1.344722222,0.951722315,0.710572067,1.346666667,0.521433938,0.436821886,1.344722222,0.989283567,0.591025871,1.346666667,0.828292385,0.690149809
14,1.4575,1.378336054,0.62396453,1.461388889,0.992875248,0.728793206,1.463333333,0.594658424,0.469757579,1.461388889,1.041571853,0.661834682,1.463333333,0.857581729,0.717509962
15,1.574166667,1.325554579,0.642644459,1.578055556,0.982178936,0.730369078,1.58,0.6426382,0.501471999,1.578055556,1.066477704,0.715909271,1.58,0.860216767,0.725987579
16,1.690833333,1.216450917,0.627208523,1.694722222,0.935357706,0.715611243,1.696666667,0.660661598,0.53102655,1.694722222,1.042011058,0.732596107,1.696666667,0.851220334,0.736016854
17,1.8075,1.074757471,0.580500682,1.811388889,0.890810058,0.698589738,1.813333333,0.633534471,0.554910399,1.811388889,0.971578737,0.718100543,1.813333333,0.839392034,0.742403104
18,1.924166667,0.920668361,0.504535498,1.928055556,0.831096334,0.67924723,1.93,0.553589401,0.557901032,1.928055556,0.876376065,0.685395436,1.93,0.804255213,0.733851192
19,2.040833333,0.784116934,0.438785504,2.044722222,0.743983837,0.652024094,2.046666667,0.423115092,0.526486724,2.044722222,0.781246527,0.650367294,2.046666667,0.755793838,0.728932172
20,2.1575,0.679111179,0.394021299,2.161388889,0.64514484,0.61537355,2.163333333,0.264650599,0.459060347,2.161388889,0.705217183,0.624635287,2.163333333,0.701386417,0.719337939
21,2.274166667,0.627413346,0.360643492,2.278055556,0.529099219,0.567129741,2.28,0.100838051,0.356176216,2.278055556,0.640648056,0.60950049,2.28,0.642941602,0.691242314
22,2.390833333,0.626156886,0.340938051,2.394722222,0.401221135,0.513633736,2.396666667,-0.05204131,0.225029089,2.394722222,0.582520892,0.594086459,2.396666667,0.589620374,0.664913259
23,2.5075,0.626276067,0.331859785,2.511388889,0.289945416,0.455124253,2.513333333,-0.165698005,0.095249061,2.511388889,0.524695244,0.575244634,2.513333333,0.558534018,0.64423959
24,2.624166667,0.626758211,0.323228535,2.628055556,0.208024399,0.394001212,2.63,-0.218300175,0.002236841,2.628055556,0.452859943,0.54851337,2.63,0.524730157,0.606205
25,2.740833333,0.625845179,0.307325461,2.744722222,0.164432865,0.344968191,2.746666667,-0.233169521,-0.037982623,2.744722222,0.358563801,0.492433717,2.746666667,0.473474458,0.556422624
26,2.8575,0.594274913,0.291804939,2.861388889,0.161637028,0.318235574,2.863333333,-0.233411947,-0.054593526,2.861388889,0.245765363,0.395651211,2.863333333,0.3999236,0.504700595
27,2.974166667,0.534562584,0.282682588,2.978055556,0.189030102,0.315411365,2.98,-0.224519582,-0.064534448,2.978055556,0.128791334,0.269996416,2.98,0.314688181,0.438352068
28,3.090833333,0.468799547,0.275009798,3.094722222,0.246717349,0.341672961,3.096666667,-0.215640167,-0.077358854,3.094722222,0.034558572,0.12742997,3.096666667,0.239674327,0.36560155
29,3.2075,0.400864453,0.266135164,3.211388889,0.345437629,0.380861834,3.213333333,-0.213841633,-0.101252529,3.211388889,-0.018141708,0.001588281,3.213333333,0.201201625,0.31033775
30,3.324166667,0.336594663,0.247459174,3.328055556,0.441090487,0.424645147,3.33,-0.212182238,-0.125780778,3.328055556,-0.036532401,-0.082962664,3.33,0.205706164,0.264516929
31,3.440833333,0.284117551,0.209843279,3.444722222,0.499334287,0.458678179,3.446666667,-0.206707312,-0.133796121,3.444722222,-0.022903809,-0.128538474,3.446666667,0.233408449,0.218006635
32,3.5575,0.225278234,0.155518025,3.561388889,0.53046966,0.471973806,3.563333333,-0.192503526,-0.123398052,3.561388889,0.002402759,-0.144466812,3.563333333,0.254981516,0.189328113
33,3.674166667,0.15228869,0.095856318,3.678055556,0.516147047,0.463497566,3.68,-0.181948451,-0.104604929,3.678055556,0.022225189,-0.140208546,3.68,0.277540852,0.18638976
34,3.790833333,0.054666551,0.017029991,3.794722222,0.441407731,0.435552692,3.796666667,-0.18036764,-0.081819931,3.794722222,0.032197675,-0.136379009,3.796666667,0.296518417,0.193368879
35,3.9075,-0.051429741,-0.070944511,3.911388889,0.333052037,0.381746183,3.913333333,-0.184025813,-0.066654719,3.911388889,0.043811456,-0.1279129,3.913333333,0.285709559,0.199543967
36,4.024166667,-0.130904628,-0.152367864,4.028055556,0.224756733,0.313326366,4.03,-0.194963568,-0.064121467,4.028055556,0.054038475,-0.11267165,4.03,0.24107374,0.191864756
37,4.140833333,-0.174037738,-0.22606493,4.144722222,0.137694467,0.254781254,4.146666667,-0.214756508,-0.07493656,4.144722222,0.052370712,-0.102615769,4.146666667,0.176051094,0.158005033
38,4.2575,-0.198030987,-0.292358037,4.261388889,0.074223199,0.217839372,4.263333333,-0.229250378,-0.095844424,4.261388889,0.02943306,-0.108910442,4.263333333,0.092834188,0.099582351
39,4.374166667,-0.202234004,-0.335302582,4.378055556,0.031863876,0.202272003,4.38,-0.23933045,-0.122734679,4.378055556,-0.003512853,-0.130549531,4.38,0.023121546,0.037024922
40,4.490833333,-0.188921507,-0.352668403,4.494722222,0.020108848,0.207293518,4.496666667,-0.244435282,-0.145916698,4.494722222,-0.032429516,-0.155587852,4.496666667,-0.004805895,0.004611546
41,4.6075,-0.174311069,-0.35226149,4.611388889,0.028994451,0.222326031,4.613333333,-0.241977675,-0.160407572,4.611388889,-0.048732004,-0.172049935,4.613333333,0.019132644,0.014698755
42,4.724166667,-0.155646369,-0.331595599,4.728055556,0.041606644,0.229122628,4.73,-0.23166391,-0.1679635,4.728055556,-0.04782592,-0.175516443,4.73,0.083743694,0.045432568
43,4.840833333,-0.129680546,-0.30205099,4.844722222,0.067596623,0.233218163,4.846666667,-0.215834964,-0.167482012,4.844722222,-0.017214939,-0.15693725,4.846666667,0.141536803,0.083491472
44,4.9575,-0.103199855,-0.275767002,4.961388889,0.111839054,0.244017353,4.963333333,-0.201459803,-0.166382115,4.961388889,0.032836483,-0.121478658,4.963333333,0.179461946,0.134600807
45,5.074166667,-0.085089425,-0.259233081,5.078055556,0.160452853,0.26503739,5.08,-0.199242155,-0.169578811,5.078055556,0.088417111,-0.081922156,5.08,0.213342765,0.186737839
46,5.190833333,-0.084572312,-0.255461508,5.194722222,0.199036895,0.297067122,5.196666667,-0.204184633,-0.175996808,5.194722222,0.147394897,-0.038006749,5.196666667,0.217524646,0.235449672
