,time,rela,crel,time1,rela.1,crel.1,time2,rela.2,crel.2,time3,rela.3,crel.3,time4,rela.4,crel.4
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.033055556,0.160228023,0.089776825,0.035,0.343493372,0.140299377,0.036944444,0.165166147,0.073993723,0.036944444,0.091781471,0.051301668,0.036944444,0.151266987,0.063067793
3,0.191388889,0.486527178,0.301069712,0.193333333,0.735222418,0.349633966,0.195277778,0.429147138,0.232939411,0.195277778,0.318062557,0.154300278,0.195277778,0.374995301,0.179679521
4,0.308055556,0.85488639,0.583437017,0.31,1.052761538,0.563621712,0.311944444,0.674215798,0.446250312,0.311944444,0.581756711,0.297418945,0.311944444,0.584410304,0.3177357
5,0.424722222,1.174630785,0.863509374,0.426666667,1.281590477,0.737058708,0.428611111,0.881911029,0.689195369,0.428611111,0.803604991,0.449031544,0.428611111,0.739339782,0.44228094
6,0.541388889,1.397458197,1.099794101,0.543333333,1.395450218,0.860485469,0.545277778,1.037097283,0.891185979,0.545277778,0.988158917,0.594049568,0.545277778,0.818820872,0.540527732
7,0.658055556,1.519301586,1.268034477,0.66,1.40021136,0.935014549,0.661944444,1.091647539,1.001151823,0.661944444,1.114039374,0.726241433,0.661944444,0.833495222,0.613562409
8,0.774722222,1.554165285,1.358385535,0.776666667,1.357489074,0.967148675,0.778611111,1.083696937,1.054500556,0.778611111,1.174676694,0.845932418,0.778611111,0.810750843,0.655692286
9,0.891388889,1.517832112,1.380447978,0.893333333,1.319103003,0.98122657,0.895277778,1.065012977,1.086797818,0.895277778,1.236523364,0.952027237,0.895277778,0.782708161,0.683040037
10,1.008055556,1.477564451,1.371547903,1.01,1.285947236,0.98533156,1.011944444,1.042689199,1.110436866,1.011944444,1.30225023,1.039545268,1.011944444,0.766571942,0.718437392
11,1.124722222,1.444737817,1.355418077,1.126666667,1.26111448,0.995405743,1.128611111,1.024376533,1.132847386,1.128611111,1.31523225,1.10779893,1.128611111,0.772118861,0.758538187
12,1.241388889,1.383766958,1.315379202,1.243333333,1.21858868,1.00199955,1.245277778,1.046389556,1.182349708,1.245277778,1.284754916,1.140977414,1.245277778,0.786027014,0.78373834
13,1.358055556,1.321670354,1.263741166,1.36,1.174946152,1.006692819,1.361944444,1.079366799,1.247539209,1.361944444,1.244733291,1.148868457,1.361944444,0.794712125,0.796027381
14,1.474722222,1.280426,1.226140912,1.476666667,1.139128894,1.014426373,1.478611111,1.09043891,1.29754441,1.478611111,1.199563404,1.156449114,1.478611111,0.809688868,0.805624747
