,time,rela,crel,time.1,rela.1,crel.1,time.2,rela.2,crel.2,time.3,rela.3,crel.3,time.4,rela.4,crel.4
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.035,0.016287629,0.009134888,0.033055556,0.018922612,0.009752901,0.035,-0.051073003,-0.013600333,0.036944444,0.009984215,0.007431878,0.033055556,-0.017839712,-0.015255478
3,0.1975,-0.003115144,0.000393081,0.195555556,0.038928722,0.032196987,0.1975,-0.074382037,-0.01580535,0.199444444,0.016241745,0.011629949,0.195555556,-0.049042269,-0.028317979
4,0.314166667,-0.04714282,-0.0223504,0.312222222,0.078109003,0.058952063,0.314166667,-0.079894789,-0.014560761,0.316111111,0.02110821,0.012929468,0.312222222,-0.072367547,-0.039634524
5,0.430833333,-0.105623853,-0.051518048,0.428888889,0.157873834,0.077715394,0.430833333,-0.08027076,-0.011607004,0.432777778,0.028665327,0.019510525,0.428888889,-0.078948618,-0.0398375
6,0.5475,-0.169833979,-0.083129688,0.545555556,0.223132783,0.086769511,0.5475,-0.073710297,-0.008880281,0.549444444,0.033369425,0.034885218,0.545555556,-0.077157821,-0.034569677
7,0.664166667,-0.212028586,-0.100818162,0.662222222,0.256647196,0.094847579,0.664166667,-0.050174888,-0.005460497,0.666111111,0.040642854,0.052389163,0.662222222,-0.07035086,-0.02423171
8,0.780833333,-0.226654517,-0.106845478,0.778888889,0.266834154,0.102196211,0.780833333,-0.018442289,0.01257032,0.782777778,0.049239507,0.05719983,0.778888889,-0.062274308,-0.006805421
9,0.8975,-0.244281439,-0.122059558,0.895555556,0.241430666,0.104896051,0.8975,0.015918811,0.040447698,0.899444444,0.058378713,0.052748739,0.895555556,-0.042466734,0.013753622
10,1.014166667,-0.241473124,-0.144191904,1.012222222,0.172865842,0.093926955,1.014166667,0.064579265,0.068784198,1.016111111,0.055938803,0.045689351,1.012222222,-0.022600041,0.032309805
