,time,rela,crel,time.1,rela.1,crel.1,time.2,rela.2,crel.2,time.3,rela.3,crel.3,time.4,rela.4,crel.4
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.043333333,0.025039031,0.016085386,0.045,0.148932149,0.148522689,0.046666667,0.046449475,0.011518348,0.048333333,0.008643868,-0.001476522,0.048333333,0.037387928,0.02180582
3,0.243333333,0.0715561,0.014631919,0.245,0.320972846,0.316822369,0.246666667,0.168508394,0.033055997,0.248333333,0.036754868,-0.003929983,0.248333333,0.126152738,0.052139776
4,0.36,0.155391824,0.014099234,0.361666667,0.475140988,0.429520403,0.363333333,0.364578375,0.106293118,0.365,0.109155231,0.012566995,0.365,0.278253313,0.109486343
5,0.476666667,0.239246943,0.008694139,0.478333333,0.572070265,0.442146719,0.48,0.586770679,0.212563447,0.481666667,0.234505946,0.057996719,0.481666667,0.462867479,0.191716811
6,0.593333333,0.313291613,0.018013697,0.595,0.628316905,0.387908229,0.596666667,0.745163812,0.333792251,0.598333333,0.363933743,0.124122259,0.598333333,0.630365074,0.307386262
7,0.71,0.395514593,0.064725146,0.711666667,0.716222545,0.347465444,0.713333333,0.825491943,0.4443735,0.715,0.45220377,0.186146117,0.715,0.761661363,0.399713282
8,0.826666667,0.474799704,0.122926867,0.828333333,0.813968021,0.344015932,0.83,0.854630348,0.526450944,0.831666667,0.510915808,0.232002123,0.831666667,0.84039213,0.45424237
9,0.943333333,0.547963824,0.18246796,0.945,0.906984072,0.369936113,0.946666667,0.85985596,0.594474281,0.948333333,0.562710704,0.277460439,0.948333333,0.879484333,0.478138804
10,1.06,0.596181766,0.241189123,1.061666667,0.9608107,0.412696667,1.063333333,0.859240118,0.655943778,1.065,0.626386385,0.342544337,1.065,0.901899941,0.490617456
11,1.176666667,0.604607924,0.288816121,1.178333333,0.958042263,0.460614645,1.18,0.848763897,0.703382407,1.181666667,0.70221077,0.428636898,1.181666667,0.918792938,0.517579379
12,1.293333333,0.603266673,0.323390165,1.295,0.912274805,0.5032175,1.296666667,0.833378205,0.722698768,1.298333333,0.746194405,0.512952291,1.298333333,0.937676304,0.554853079
13,1.41,0.618971607,0.356545441,1.411666667,0.844256784,0.530541378,1.413333333,0.811729046,0.722040701,1.415,0.760422301,0.561904808,1.415,0.963310836,0.589320625
14,1.526666667,0.647927113,0.3855037,1.528333333,0.777527831,0.540321908,1.53,0.809118664,0.723508479,1.531666667,0.757828873,0.585851278,1.531666667,0.985061815,0.621404592
15,1.643333333,0.652658249,0.39981346,1.645,0.713603064,0.516559644,1.646666667,0.792631863,0.720810254,1.648333333,0.760711069,0.59598546,1.648333333,1.002496487,0.649108686
16,1.76,0.625531297,0.400760514,1.761666667,0.643820542,0.468802784,1.763333333,0.774386397,0.729356844,1.765,0.764844691,0.606462056,1.765,1.012902915,0.666634828
17,1.876666667,0.603478063,0.413325811,1.878333333,0.578172149,0.419277325,1.88,0.777250342,0.756280286,1.881666667,0.756413836,0.608603687,1.881666667,1.014373204,0.681674048
18,1.993333333,0.59489285,0.414202702,1.995,0.5427435,0.39590936,1.996666667,0.784247802,0.772249661,1.998333333,0.737415746,0.590555461,1.998333333,1.020317916,0.69938308
19,2.11,0.615637068,0.41183615,2.111666667,0.541550527,0.406687178,2.113333333,0.80560739,0.787551147,2.115,0.718395322,0.576950701,2.115,1.02453733,0.70900405
20,2.226666667,0.643561736,0.402729909,2.228333333,0.57043253,0.438013923,2.23,0.833513366,0.80394684,2.231666667,0.715486818,0.574043371,2.231666667,1.01629548,0.707618842
21,2.343333333,0.62882457,0.38064209,2.345,0.588965271,0.462536523,2.346666667,0.845343511,0.820057097,2.348333333,0.719755727,0.596949124,2.348333333,0.97375606,0.698520146
22,2.46,0.595159239,0.375669101,2.461666667,0.596298872,0.46975353,2.463333333,0.865798953,0.860903711,2.465,0.722185623,0.620851191,2.465,0.928719157,0.679145811
23,2.576666667,0.540437658,0.358884524,2.578333333,0.584584659,0.466120026,2.58,0.884086324,0.906140368,2.581666667,0.727651117,0.633471737,2.581666667,0.90459006,0.672486504
24,2.693333333,0.490111305,0.32741672,2.695,0.574834953,0.461388536,2.696666667,0.880121868,0.927207466,2.698333333,0.740996752,0.642184854,2.698333333,0.895598308,0.667936578
25,2.81,0.462566253,0.297923393,2.811666667,0.584741191,0.447877465,2.813333333,0.878917133,0.928217236,2.815,0.754538986,0.653670334,2.815,0.880544759,0.642022305
26,2.926666667,0.46491985,0.29277542,2.928333333,0.603234682,0.427287067,2.93,0.870396919,0.916785695,2.931666667,0.743334553,0.670979763,2.931666667,0.835038998,0.609459382
