,time,rela,crel,time.1,rela.1,crel.1,time.2,rela.2,crel.2,time.3,rela.3,crel.3,time.4,rela.4,crel.4
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.04,0.136984374,0.035086968,0.04,0.115628716,0.015085163,0.038333333,0.13885141,0.06741614,0.04,0.080947484,0.018830162,0.033333333,0.016227123,0.004195981
3,0.24,0.330090943,0.122287795,0.24,0.320118294,0.103622202,0.238333333,0.31506475,0.181175607,0.24,0.235203406,0.065749686,0.233333333,0.077978421,0.018890183
4,0.356666667,0.512427623,0.239109645,0.356666667,0.55216499,0.241525127,0.355,0.47617507,0.315024315,0.356666667,0.405637281,0.149864299,0.35,0.180676598,0.061422619
5,0.473333333,0.618669378,0.355175949,0.473333333,0.710919222,0.388409189,0.471666667,0.570937153,0.441719273,0.473333333,0.518164833,0.224647694,0.466666667,0.297434837,0.127609166
6,0.59,0.620018738,0.418620399,0.59,0.747395261,0.473294412,0.588333333,0.573784928,0.489025167,0.59,0.529103825,0.269168245,0.583333333,0.364593351,0.187636061
7,0.706666667,0.589157066,0.429398093,0.706666667,0.719183152,0.495421469,0.705,0.551315397,0.490843094,0.706666667,0.490498529,0.304574162,0.7,0.387521815,0.229090984
8,0.823333333,0.570125481,0.428917081,0.823333333,0.716208321,0.513307129,0.821666667,0.54625084,0.500770002,0.823333333,0.481203794,0.337977627,0.816666667,0.384090237,0.252006815
9,0.94,0.572269888,0.439479099,0.94,0.737200114,0.555881907,0.938333333,0.552066834,0.516357403,0.94,0.495358915,0.372345757,0.933333333,0.361360271,0.254308164
10,1.056666667,0.59659905,0.460087577,1.056666667,0.78098674,0.623001517,1.055,0.552504638,0.530116275,1.056666667,0.533038856,0.397937209,1.05,0.340644241,0.239470129
11,1.173333333,0.630443342,0.491389384,1.173333333,0.843850037,0.696813943,1.171666667,0.535606437,0.529147463,1.173333333,0.5610882,0.393584259,1.166666667,0.312950576,0.218583441
12,1.29,0.675580932,0.532870484,1.29,0.882010067,0.747157256,1.288333333,0.508396657,0.51428194,1.29,0.578782896,0.386548235,1.283333333,0.301121087,0.207130182
13,1.406666667,0.717988414,0.5640254,1.406666667,0.910496379,0.769294751,1.405,0.485753501,0.511067912,1.406666667,0.574081013,0.358693305,1.4,0.308645205,0.209852406
14,1.523333333,0.747922517,0.584673754,1.523333333,0.930632711,0.787898973,1.521666667,0.482963412,0.51879102,1.523333333,0.573662467,0.348165021,1.516666667,0.314065364,0.216844688
15,1.64,0.766203807,0.603720326,1.64,0.907792278,0.783049724,1.638333333,0.481547203,0.513753291,1.64,0.587790819,0.368706387,1.633333333,0.323630038,0.224950621
16,1.756666667,0.762820663,0.619678927,1.756666667,0.867758449,0.767566956,1.755,0.479280101,0.508002458,1.756666667,0.57719871,0.388080161,1.75,0.331702804,0.239654368
17,1.873333333,0.753072853,0.636736562,1.873333333,0.829360542,0.743696964,1.871666667,0.471720131,0.500248074,1.873333333,0.58007626,0.421218292,1.866666667,0.335817999,0.255880249
18,1.99,0.744789952,0.650314789,1.99,0.782835033,0.711283829,1.988333333,0.461266555,0.487486901,1.99,0.556829375,0.414303011,1.983333333,0.350606823,0.268933146
19,2.106666667,0.724347972,0.644836699,2.106666667,0.740357069,0.673527731,2.105,0.457975355,0.486780727,2.106666667,0.514940195,0.362331558,2.1,0.359096063,0.272443061
20,2.223333333,0.696088967,0.626467067,2.223333333,0.705517607,0.635952088,2.221666667,0.471603423,0.4870665,2.223333333,0.473990204,0.304881581,2.216666667,0.356664069,0.262205692
21,2.34,0.66434316,0.614475227,2.34,0.660895086,0.593271685,2.338333333,0.479012146,0.480858183,2.34,0.408314558,0.236379098,2.333333333,0.352262472,0.253539711
22,2.456666667,0.651595938,0.616207787,2.456666667,0.639714531,0.575916471,2.455,0.477397257,0.4768914,2.456666667,0.356796569,0.191495387,2.45,0.33973352,0.248214001
23,2.573333333,0.645294206,0.615711544,2.573333333,0.633580176,0.575464944,2.571666667,0.467412212,0.467291426,2.573333333,0.320334748,0.178309838,2.566666667,0.336157982,0.24762363
24,2.69,0.647768182,0.611876965,2.69,0.630956948,0.574705525,2.688333333,0.455305161,0.46209307,2.69,0.320275207,0.1948804,2.683333333,0.34893629,0.265405246
25,2.806666667,0.643597242,0.597168472,2.806666667,0.627175969,0.575963456,2.805,0.44925524,0.460824215,2.806666667,0.339668976,0.226762353,2.8,0.359791629,0.278334411
26,2.923333333,0.618717975,0.565087546,2.923333333,0.611011409,0.566811169,2.921666667,0.445733321,0.456512737,2.923333333,0.348158375,0.233992357,2.916666667,0.351413178,0.273512447
27,3.04,0.594995364,0.540101034,3.04,0.60052625,0.561643063,3.038333333,0.438463985,0.448702945,3.04,0.346497727,0.219253396,3.033333333,0.319666252,0.253023897
28,3.156666667,0.588902902,0.539716435,3.156666667,0.597438684,0.564749347,3.155,0.430928869,0.438196746,3.156666667,0.327881883,0.178415837,3.15,0.274797019,0.221625629
29,3.273333333,0.599315967,0.550394159,3.273333333,0.610680465,0.568809494,3.271666667,0.424560241,0.431699524,3.273333333,0.324705397,0.16823979,3.266666667,0.24372908,0.199191418
30,3.39,0.604886196,0.557213798,3.39,0.607185729,0.569675359,3.388333333,0.415255875,0.426895139,3.39,0.336861219,0.178321498,3.383333333,0.246925202,0.210039282
31,3.506666667,0.595524913,0.541346959,3.506666667,0.595803615,0.560426609,3.505,0.41012645,0.425531349,3.506666667,0.350546374,0.191644269,3.5,0.263995459,0.224868971
32,3.623333333,0.585752733,0.517345233,3.623333333,0.585817114,0.54656144,3.621666667,0.413689746,0.430468961,3.623333333,0.379446448,0.228728836,3.616666667,0.287929646,0.247825288
33,3.74,0.589173744,0.51650102,3.74,0.567436438,0.531000995,3.738333333,0.417114213,0.436411374,3.74,0.384089057,0.238639242,3.733333333,0.310076434,0.27314433
34,3.856666667,0.597611397,0.529783052,3.856666667,0.540361468,0.508885793,3.855,0.420667624,0.439910827,3.856666667,0.373241091,0.234049441,3.85,0.318470004,0.285355337
35,3.973333333,0.591084089,0.541854859,3.973333333,0.503952579,0.481945731,3.971666667,0.422204337,0.439118542,3.973333333,0.335217774,0.200040926,3.966666667,0.332243326,0.304834725
36,4.09,0.556114857,0.526726461,4.09,0.48310605,0.462471764,4.088333333,0.423829091,0.437183991,4.09,0.291093867,0.148269304,4.083333333,0.344350728,0.316192554
37,4.206666667,0.520026195,0.499200391,4.206666667,0.479633509,0.450767655,4.205,0.419639885,0.434400071,4.206666667,0.30072068,0.147716833,4.2,0.343252587,0.305455189
38,4.323333333,0.487554605,0.470129784,4.323333333,0.477199357,0.443547704,4.321666667,0.412398971,0.431526033,4.323333333,0.354869293,0.180456841,4.316666667,0.33924739,0.297829884
39,4.44,0.467312374,0.460717329,4.44,0.478738864,0.440140991,4.438333333,0.40154442,0.427461198,4.44,0.408894117,0.212790895,4.433333333,0.324119104,0.290841511
40,4.556666667,0.46608121,0.470916475,4.556666667,0.488643441,0.439019798,4.555,0.391933995,0.418225529,4.556666667,0.436528301,0.221846822,4.55,0.297309988,0.278970456
41,4.673333333,0.484882341,0.496676746,4.673333333,0.503130198,0.438640986,4.671666667,0.388704315,0.410367563,4.673333333,0.438525688,0.213231523,4.666666667,0.276773875,0.266187651
42,4.79,0.514741715,0.521456653,4.79,0.515532184,0.44600974,4.788333333,0.387329376,0.400878957,4.79,0.417365968,0.198490928,4.783333333,0.247094951,0.238981307
43,4.906666667,0.540717904,0.526156584,4.906666667,0.53873636,0.462678241,4.905,0.389502039,0.397000244,4.906666667,0.404361743,0.192406007,4.9,0.232900257,0.227379874
44,5.023333333,0.547184462,0.510806225,5.023333333,0.545464524,0.478961775,5.021666667,0.391161468,0.39842298,5.023333333,0.38797015,0.187131084,5.016666667,0.229895908,0.233441495
45,5.14,0.545092378,0.500994197,5.14,0.548328241,0.494428223,5.138333333,0.393509436,0.402360266,5.14,0.375520551,0.188576727,5.133333333,0.227336064,0.250925812
46,5.256666667,0.536743556,0.49742802,5.256666667,0.5235519,0.494898593,5.255,0.393295783,0.406134118,5.256666667,0.384112766,0.205024751,5.25,0.235398165,0.271491157
47,5.373333333,0.52587363,0.499118031,5.373333333,0.493831402,0.489663288,5.371666667,0.398082701,0.40776003,5.373333333,0.384600432,0.218987469,5.366666667,0.244733022,0.283034136
48,5.49,0.531500115,0.504433484,5.49,0.503156899,0.500662329,5.488333333,0.406328644,0.40810413,5.49,0.389024397,0.221242518,5.483333333,0.274853297,0.309468846
49,5.606666667,0.535497227,0.506828696,5.606666667,0.544289406,0.525879459,5.605,0.409082064,0.409841526,5.606666667,0.388932942,0.208353967,5.6,0.312521496,0.32403672
50,5.723333333,0.541546117,0.511006536,5.723333333,0.584322097,0.535692076,5.721666667,0.406127988,0.410974815,5.723333333,0.393653321,0.205426011,5.716666667,0.33405875,0.325375324
51,5.84,0.543326907,0.526514445,5.84,0.606900327,0.528886515,5.838333333,0.401188759,0.413682658,5.84,0.395091953,0.205678327,5.833333333,0.328700214,0.308302514
52,5.956666667,0.535397222,0.536445471,5.956666667,0.600803919,0.502545945,5.955,0.397604304,0.414183894,5.956666667,0.393681748,0.226748359,5.95,0.324478326,0.301806232
53,6.073333333,0.531777694,0.534794052,6.073333333,0.599669263,0.488796802,6.071666667,0.400200782,0.410098815,6.073333333,0.386777544,0.240992022,6.066666667,0.327396935,0.309996436
54,6.19,0.514488197,0.525305069,6.19,0.621616126,0.507819853,6.188333333,0.401131344,0.406027269,6.19,0.384076691,0.257217575,6.183333333,0.319227004,0.302152104
55,6.306666667,0.501286888,0.515394947,6.306666667,0.623971062,0.518252724,6.305,0.399660963,0.401710685,6.306666667,0.385369264,0.268394255,6.3,0.30763857,0.288305585
56,6.423333333,0.487740521,0.501691366,6.423333333,0.602427742,0.507940646,6.421666667,0.394905019,0.400447873,6.423333333,0.383839647,0.264870148,6.416666667,0.267693292,0.244383837
57,6.54,0.47803225,0.48632583,6.54,0.556364507,0.47588872,6.538333333,0.388497855,0.399966982,6.54,0.385285055,0.260005519,6.533333333,0.261880106,0.222767741
