,time,rela,crel,time.2,rela.1,crel.1,time.2,rela.2,crel.2,time.3,rela.3,crel.3,time.4,rela.4,crel.4
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.05,0.012208264,0.006412688,0.056666667,-0.002091816,-0.018827728,0.056666667,0.024064043,0.016404888,0.056666667,0.018574262,0.002956273,0.056666667,0.020326439,0.01775604
3,0.25,0.11022403,0.038162477,0.256666667,0.095103529,-0.014966031,0.256666667,0.108226109,0.054008107,0.256666667,0.091913156,0.005384654,0.256666667,0.095966079,0.055845559
4,0.366666667,0.291256365,0.108988755,0.373333333,0.325035094,0.04613406,0.373333333,0.293054654,0.132392468,0.373333333,0.243109691,0.034038451,0.373333333,0.260914121,0.133761204
5,0.483333333,0.463911572,0.225429986,0.49,0.555044065,0.132129557,0.49,0.497532787,0.222092617,0.49,0.375099999,0.077320185,0.49,0.41481873,0.211747708
6,0.6,0.571326823,0.333782696,0.606666667,0.69694006,0.206196823,0.606666667,0.661821505,0.299660612,0.606666667,0.443576465,0.114565101,0.606666667,0.504921163,0.258252356
7,0.716666667,0.544679131,0.343763448,0.723333333,0.670640566,0.227238573,0.723333333,0.707518136,0.333473736,0.723333333,0.395291089,0.124231801,0.723333333,0.500032909,0.265257836
8,0.833333333,0.456418137,0.299798575,0.84,0.566321249,0.202231478,0.84,0.663500547,0.326499149,0.84,0.274298964,0.100012006,0.84,0.462374636,0.258794833
9,0.95,0.369364655,0.208655489,0.956666667,0.455637954,0.160869544,0.956666667,0.611785928,0.308184389,0.956666667,0.161231516,0.059553307,0.956666667,0.453606612,0.257818392
10,1.066666667,0.310128698,0.142839655,1.073333333,0.386480934,0.142072147,1.073333333,0.565061001,0.290430873,1.073333333,0.09550636,0.028392001,1.073333333,0.446932989,0.262021274
11,1.183333333,0.297094109,0.128979273,1.19,0.374074061,0.148125529,1.19,0.521448941,0.270500835,1.19,0.068689161,0.01530088,1.19,0.415658527,0.262379358
12,1.3,0.311274627,0.122200297,1.306666667,0.416059956,0.1799219,1.306666667,0.473171375,0.246283067,1.306666667,0.071497828,0.015827019,1.306666667,0.364697954,0.240503915
13,1.416666667,0.349708021,0.133713801,1.423333333,0.510794792,0.209073617,1.423333333,0.425851888,0.223144873,1.423333333,0.09305018,0.028044522,1.423333333,0.300391612,0.220599652
